,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
452,2019,Lichtenberg,110308,FrankfurterAlleeSd,20,7,159,51,37,693,34,65,92,5,10,6,173,45,88,292
453,2013,FriedrichshainKreuzberg,20303,nrdlicheLuisenstadt,140,108,556,192,115,2805,38,165,351,103,27,4,510,120,208,1202
454,2015,MarzahnHellersdorf,100206,HellersdorfSd,23,15,246,36,79,625,41,124,70,32,32,3,206,51,33,506
455,2013,Neuklln,80104,Rixdorf,125,72,603,168,201,2211,50,367,269,148,31,15,509,86,110,1531
456,2014,CharlottenburgWilmersdorf,40203,Westend,36,24,222,44,121,2767,64,406,193,112,12,8,280,55,20,776
457,2016,Mitte,19900,BezirkMinichtzuzuordnen,91,77,310,95,83,3736,31,340,216,0,8,5,167,32,113,609
458,2015,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,27,13,234,59,106,1241,26,143,260,66,11,4,209,17,33,612
459,2019,CharlottenburgWilmersdorf,40305,Mierendorffplatz,26,11,165,37,72,767,27,143,100,23,14,8,199,33,48,458
460,2016,TreptowKpenick,90205,Oberschneweide,11,8,268,71,76,1107,66,146,233,41,20,12,288,64,45,617
461,2015,MarzahnHellersdorf,100408,Kaulsdorf,3,1,96,19,22,534,28,95,98,102,3,3,105,18,16,168
462,2015,Lichtenberg,110102,NeuHohenschnhausenNord,13,8,310,54,67,710,81,133,88,17,20,7,208,28,42,609
463,2012,Reinickendorf,121031,Ost1Reginhardstr,60,21,400,101,169,1119,38,205,179,110,11,4,337,34,137,939
464,2014,Pankow,30612,PrenzlauerBergNord,31,13,168,37,56,1984,80,213,546,38,7,4,284,123,35,627
465,2013,SteglitzZehlendorf,60102,Albrechtstr,54,22,263,52,145,1617,112,418,232,162,17,6,332,62,59,879
466,2016,Reinickendorf,122145,West5TegelTegelerForst,25,14,207,45,61,1090,9,56,109,31,3,1,183,31,29,471
467,2016,Pankow,30405,SchnholzWilhelmsruhRosenthal,8,3,72,14,25,519,16,110,75,64,7,5,94,20,8,186
468,2013,Mitte,10331,OsloerStrae,125,64,814,210,253,3540,26,378,279,166,28,8,441,55,366,1674
469,2016,TempelhofSchneberg,70707,Lichtenrade,22,11,345,61,100,1433,114,340,175,246,24,9,317,35,103,700
470,2012,Spandau,50307,Haselhorst,36,16,165,35,70,1143,36,208,90,52,10,1,261,21,39,575
471,2015,Neuklln,80207,Buckow,11,5,173,36,85,746,55,215,62,108,15,10,172,25,15,441
